size,allowed_shape,forbidden_shape,forbidden_size,cell_count_pop1,cell_count_pop2,cell_radius,cell_interaction_radius,distribution,dist_params_pop1,dist_params_pop2,pixels_no_interaction,pixels_pop1_only,pixels_pop2_only,pixels_both_populations,total_pixels,varied_parameter,repeat
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2255,461,985,6299,10000,dist_params,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3175,558,1008,5259,10000,dist_params,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2166,736,991,6107,10000,dist_params,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2398,939,633,6030,10000,dist_params,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.30, 0.10)","(0.70, 0.10)",2808,3348,3281,563,10000,dist_params,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.30, 0.10)","(0.70, 0.10)",2797,3215,3561,427,10000,dist_params,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.30, 0.10)","(0.70, 0.10)",2540,3664,3377,419,10000,dist_params,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.30, 0.10)","(0.70, 0.10)",2593,3558,3391,458,10000,dist_params,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.30, 0.10)","(0.70, 0.10)",2507,3519,3451,523,10000,dist_params,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.05)","(0.50, 0.20)",1206,77,7444,1273,10000,dist_params,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.05)","(0.50, 0.20)",1035,75,7840,1050,10000,dist_params,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.05)","(0.50, 0.20)",1103,11,7826,1060,10000,dist_params,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.05)","(0.50, 0.20)",914,51,7964,1071,10000,dist_params,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.05)","(0.50, 0.20)",1113,70,7903,914,10000,dist_params,4
